date,open,high,low,close
2024.07.12,2415.29,2418.17,2391.44,2411.59
2024.07.15,2411.51,2439.67,2401.32,2422.23
2024.07.16,2422.14,2469.65,2420.01,2468.69
2024.07.17,2468.66,2483.54,2451.36,2458.66
2024.07.18,2458.51,2474.80,2440.23,2445.08
2024.07.19,2445.65,2445.67,2393.71,2400.30
2024.07.22,2401.79,2412.04,2383.71,2396.35
2024.07.23,2396.71,2411.91,2388.17,2409.62
2024.07.24,2408.65,2431.90,2396.72,2397.23
2024.07.25,2397.05,2401.11,2352.97,2364.49
2024.07.26,2364.05,2390.68,2355.70,2387.34
2024.07.29,2388.70,2403.05,2369.54,2383.50
2024.07.30,2383.83,2412.64,2376.36,2410.92
2024.07.31,2410.98,2450.80,2403.76,2447.24
2024.08.01,2448.53,2462.17,2430.12,2446.30
2024.08.02,2446.24,2477.61,2410.72,2441.38
2024.08.05,2444.61,2458.65,2364.06,2409.96
2024.08.06,2410.23,2418.23,2381.48,2389.85
2024.08.07,2391.58,2406.90,2378.94,2383.06
2024.08.08,2381.01,2427.53,2380.95,2427.18
2024.08.09,2427.07,2436.93,2416.78,2431.07
2024.08.12,2429.26,2473.16,2423.75,2472.03
2024.08.13,2471.08,2476.82,2458.40,2464.98
